학생,성별,수학점수,영어점수,국어점수,공부시간
민수,남,51,57,70,14.4
도현,남,89,79,81,28.8
희정,여,71,77,69,23.3
하연,여,69,78,73,20.0
종석,남,48,52,59,8.9
흥민,남,72,55,65,8.9
명보,남,50,44,51,6.5
지성,남,72,70,74,26.7
수호,남,80,77,67,20.0
상협,남,64,85,62,22.7
우석,남,50,51,57,5.5
선홍,남,67,90,81,29.2
정아,여,67,81,75,25.8
미연,여,58,53,58,10.3
수민,여,62,60,49,9.5
지우,여,57,69,56,9.6
아연,여,59,61,60,12.6
현지,여,65,81,62,18.1
현수,남,50,44,64,15.8
기남,여,52,67,65,12.3
원진,여,67,72,83,20.3
원민,남,64,53,59,8.5
원우,남,63,61,64,12.3
현진,여,45,47,63,14.2
지민,여,69,64,52,16.4
병근,남,75,79,74,24.6
병찬,남,49,69,60,10.0
보근,남,74,64,85,17.9
보영,여,81,64,68,19.8
지훈,남,59,49,58,6.2
